user_id,keyword,weight
99,NCC,15
21,NCC,19
59,NCC,10
68,서울살이기준금리,21
6,대출,5
20,김치프리미엄,25
66,품목,6
24,도로,16
52,김치프리미엄,6
0,아파트,16
62,트럼프,26
29,LG전자,10
92,코스피,7
1,아파트,25
77,NCC,4
0,엔비디아,2
30,코스피,26
27,LG전자,20
97,국제선,25
57,애플,8
84,매수,13
3,TSMC,2
42,가공식품,4
70,서울살이기준금리,30
9,증권가,17
94,국내증시,12
75,김치프리미엄,30
7,토스,4
31,매수,20
81,FOMC,18
56,매수,17
36,가상계좌,15
28,트럼프,12
34,도로,26
17,서울살이기준금리,33
86,FOMC,16
51,공시가,7
7,국내증시,1
53,TSMC,17
17,공시가,19
58,나스닥,5
4,서울살이기준금리,7
95,가상계좌,23
42,FOMC,20
5,아파트,14
43,FOMC,14
93,포스코,24
75,코스피,6
5,매수,3
76,트럼프,6
94,매수,27
32,품목,17
4,가공식품,12
63,코스피,18
82,대출,9
16,반도체,12
82,국내증시,9
24,트럼프,19
54,가공식품,25
28,FOMC,17
83,김치프리미엄,8
62,토스,1
75,공시가,25
4,엔비디아,4
87,FOMC,27
7,국제선,26
89,가공식품,28
16,국제선,25
47,가공식품,30
71,엔비디아,6
83,토스,16
6,나스닥,7
21,김치프리미엄,26
20,LG전자,4
41,가상계좌,15
75,서울살이기준금리,17
23,매수,14
92,TSMC,6
41,포스코,14
14,반도체,25
14,가상계좌,32
49,도로,30
49,증권가,11
14,애플,7
11,나스닥,6
70,포스코,15
2,아파트,19
95,포스코,23
58,국제선,19
24,토스,22
30,애플,2
76,애플,28
80,토스,11
16,FOMC,9
72,공시가,8
58,가공식품,14
93,엔비디아,7
4,TSMC,17
94,공시가,26
56,증권가,7
75,엔비디아,20
11,대출,14
94,트럼프,25
32,ETF,12
88,반도체,26
66,토스,27
64,나스닥,19
68,김치프리미엄,16
67,매수,15
12,매수,10
25,서울살이기준금리,12
59,LG전자,32
82,증권가,33
81,서울살이기준금리,19
85,토스,7
65,LG전자,21
29,가상계좌,28
42,포스코,16
64,도로,8
65,ETF,14
9,TSMC,4
55,포스코,20
93,반도체,14
42,국제선,13
63,품목,4
33,포스코,26
66,LG전자,24
86,가공식품,30
6,LG전자,17
59,포스코,12
51,국내증시,17
10,서울살이기준금리,25
53,NCC,7
43,국내증시,9
55,공시가,7
17,코스피,17
98,증권가,22
26,가상계좌,20
40,서울살이기준금리,14
85,가공식품,15
66,트럼프,17
62,도로,28
29,나스닥,27
93,김치프리미엄,9
64,포스코,27
24,국제선,17
5,ETF,17
70,ETF,15
24,김치프리미엄,18
7,ETF,17
80,아파트,10
91,김치프리미엄,5
72,매수,11
22,ETF,8
8,NCC,16
82,TSMC,27
4,포스코,14
49,LG전자,20
27,가상계좌,22
89,대출,12
65,매수,15
20,FOMC,25
40,애플,13
7,TSMC,22
13,엔비디아,21
71,가공식품,6
68,증권가,11
0,토스,4
42,도로,5
33,TSMC,21
24,가공식품,22
49,NCC,16
94,품목,8
63,가상계좌,6
52,대출,16
69,증권가,19
84,김치프리미엄,20
98,트럼프,10
12,포스코,17
30,토스,11
32,애플,24
86,김치프리미엄,15
13,LG전자,3
99,반도체,8
38,도로,20
49,트럼프,26
37,엔비디아,2
11,FOMC,20
3,가상계좌,13
42,엔비디아,7
10,품목,24
53,트럼프,9
15,국내증시,5
88,매수,30
52,품목,30
1,품목,15
9,트럼프,18
68,포스코,10
58,FOMC,15
38,품목,16
83,LG전자,21
77,국내증시,25
87,공시가,11
34,ETF,20
55,나스닥,26
64,가상계좌,15
56,반도체,29
18,가상계좌,9
13,코스피,16
6,토스,11
73,아파트,12
92,엔비디아,27
1,국제선,24
87,품목,3
92,도로,7
48,LG전자,23
85,코스피,16
78,트럼프,4
8,트럼프,19
2,가공식품,6
47,엔비디아,30
78,매수,6
8,매수,13
32,코스피,19
19,트럼프,11
12,반도체,25
0,NCC,7
96,국내증시,1
33,도로,1
60,TSMC,21
14,토스,18
23,포스코,27
60,품목,14
15,매수,16
4,국내증시,10
28,국제선,26
53,FOMC,6
36,매수,11
11,품목,23
49,애플,19
23,가상계좌,8
6,가공식품,2
42,코스피,24
36,국제선,14
70,트럼프,12
97,김치프리미엄,6
84,증권가,21
5,토스,23
91,국내증시,26
36,엔비디아,23
59,국제선,21
8,애플,4
90,LG전자,10
81,가공식품,9
73,공시가,27
63,가공식품,27
28,LG전자,15
78,나스닥,12
3,나스닥,15
71,서울살이기준금리,9
57,국내증시,7
35,포스코,10
95,TSMC,4
83,증권가,2
81,반도체,26
5,트럼프,24
75,포스코,3
60,ETF,6
81,트럼프,15
8,아파트,18
60,국제선,13
23,증권가,22
6,아파트,28
44,가공식품,16
52,국제선,30
67,대출,19
53,김치프리미엄,14
5,김치프리미엄,25
93,코스피,20
98,FOMC,9
68,트럼프,29
22,김치프리미엄,2
26,도로,11
32,TSMC,9
4,공시가,12
99,TSMC,7
95,토스,33
34,포스코,30
8,TSMC,7
50,가상계좌,4
19,ETF,25
49,품목,30
0,LG전자,5
84,가공식품,6
98,나스닥,10
63,대출,1
76,반도체,17
25,아파트,5
74,TSMC,7
52,토스,16
76,국제선,14
72,품목,32
62,대출,16
21,가공식품,16
16,나스닥,6
88,서울살이기준금리,32
74,트럼프,3
72,반도체,16
7,나스닥,28
64,품목,30
67,김치프리미엄,28
24,TSMC,20
44,매수,6
61,포스코,5
16,LG전자,32
53,나스닥,10
27,품목,24
40,증권가,11
91,서울살이기준금리,3
67,국내증시,23
30,엔비디아,22
96,대출,6
52,매수,8
53,반도체,1
27,엔비디아,30
28,아파트,22
16,김치프리미엄,26
60,매수,1
1,반도체,27
63,도로,11
38,아파트,7
92,가상계좌,1
2,국제선,12
12,증권가,15
11,가공식품,15
16,TSMC,7
62,나스닥,27
59,가상계좌,15
9,LG전자,17
94,ETF,19
40,ETF,28
44,애플,2
63,토스,9
86,포스코,26
70,애플,33
39,공시가,14
91,엔비디아,29
19,김치프리미엄,22
10,공시가,11
46,도로,5
96,엔비디아,18
30,포스코,11
18,코스피,13
82,LG전자,27
7,도로,24
98,토스,28
10,아파트,19
26,반도체,11
78,가공식품,7
68,나스닥,21
38,공시가,22
44,국제선,8
52,서울살이기준금리,31
73,TSMC,15
47,포스코,16
67,코스피,11
30,국제선,2
79,서울살이기준금리,23
6,NCC,19
29,국제선,16
56,국제선,17
1,나스닥,29
34,LG전자,29
70,LG전자,16
94,애플,11
18,FOMC,20
68,애플,24
32,서울살이기준금리,23
39,국내증시,10
36,공시가,33
13,아파트,30
1,LG전자,8
95,트럼프,10
65,국제선,12
33,엔비디아,22
44,도로,7
49,매수,9
39,증권가,17
88,국내증시,4
58,엔비디아,26
66,엔비디아,24
11,국제선,27
2,증권가,1
5,엔비디아,11
91,공시가,7
74,반도체,29
96,매수,25
5,애플,29
56,서울살이기준금리,24
44,나스닥,25
47,가상계좌,1
68,FOMC,13
72,나스닥,25
89,도로,24
62,아파트,18
33,트럼프,30
52,아파트,6
10,코스피,5
17,증권가,11
42,LG전자,17
30,도로,15
80,매수,19
54,NCC,20
99,코스피,6
23,서울살이기준금리,32
94,국제선,33
13,품목,7
82,서울살이기준금리,29
24,엔비디아,9
51,NCC,24
18,나스닥,28
33,ETF,2
2,ETF,7
71,아파트,22
75,가상계좌,15
29,도로,29
80,증권가,27
73,ETF,12
31,애플,28
74,매수,23
33,가공식품,6
7,엔비디아,13
87,서울살이기준금리,5
59,품목,4
61,엔비디아,26
61,가상계좌,30
73,가상계좌,1
48,국내증시,11
6,FOMC,14
17,애플,29
16,공시가,22
90,코스피,12
69,품목,5
74,나스닥,27
19,대출,30
21,LG전자,10
18,LG전자,17
5,LG전자,17
4,가상계좌,10
68,가공식품,28
17,가상계좌,17
17,TSMC,13
40,아파트,20
60,LG전자,10
35,엔비디아,5
97,ETF,29
99,가공식품,9
85,국제선,9
95,공시가,32
55,김치프리미엄,16
14,코스피,8
93,공시가,27
57,토스,23
67,ETF,4
15,가공식품,28
37,대출,4
16,포스코,30
29,국내증시,18
66,애플,6
73,NCC,28
51,서울살이기준금리,28
64,공시가,20
88,포스코,8
3,아파트,21
52,포스코,29
64,코스피,24
64,아파트,22
86,TSMC,8
95,LG전자,2
82,가공식품,27
70,가상계좌,7
87,토스,24
24,서울살이기준금리,26
4,애플,7
30,나스닥,7
8,증권가,4
57,증권가,2
57,ETF,25
74,증권가,22
56,대출,28
12,나스닥,1
25,증권가,28
69,코스피,19
20,코스피,10
67,엔비디아,19
32,나스닥,18
95,국제선,24
43,대출,3
76,코스피,10
84,TSMC,6
73,국제선,25
20,가상계좌,30
43,국제선,11
12,국제선,29
60,토스,21
18,서울살이기준금리,7
91,LG전자,17
38,매수,8
7,LG전자,19
94,토스,5
44,트럼프,28
88,나스닥,24
77,트럼프,4
40,TSMC,19
2,가상계좌,21
65,가공식품,9
88,증권가,17
86,국제선,27
78,FOMC,17
18,도로,5
14,트럼프,2
97,국내증시,1
67,서울살이기준금리,26
49,반도체,26
88,FOMC,26
59,공시가,11
82,코스피,14
